domain,tld,length,commercial_score,keyword_relevance,estimated_value,source,keywords,created_at
edtech-pro.com,com,10,8.0,7.5,468.0,whois_api,tech,2025-06-09 02:26:44
fintech-hub.com,com,11,8.0,7.5,468.0,whois_api,tech,2025-06-09 02:26:44
proptech-works.com,com,14,8.0,7.5,360.0,whois_api,tech,2025-06-09 02:26:44
newhealthtech.com,com,13,8.0,7.0,336.0,whois_api,"tech,health",2025-06-09 02:26:44
mytech.com,com,6,8.0,5.0,312.0,pattern_generation,tech,2025-06-09 02:26:44
healthtech-solutions.com,com,20,7.0,7.0,294.0,whois_api,"tech,health",2025-06-09 02:26:44
proptechstudio.net,net,14,8.0,7.5,288.0,whois_api,tech,2025-06-09 02:26:44
fintechlab.net,net,10,8.0,5.0,249.6,whois_api,tech,2025-06-09 02:26:44
best-proptech.org,org,13,8.0,7.5,240.0,whois_api,tech,2025-06-09 02:26:44
cleantech-lab.com,com,13,8.0,5.0,240.0,whois_api,tech,2025-06-09 02:26:44
healthtechsolutions.net,net,19,7.0,7.0,235.2,whois_api,"tech,health",2025-06-09 02:26:44
prohub.net,net,6,6.0,6.0,224.64,pattern_generation,generic,2025-06-09 02:26:44
best-fintech.org,org,12,8.0,5.0,208.0,whois_api,tech,2025-06-09 02:26:44
new-fintech.org,org,11,8.0,5.0,208.0,whois_api,tech,2025-06-09 02:26:44
expertmaster.org,org,12,6.0,6.0,187.2,pattern_generation,generic,2025-06-09 02:26:44
