domain,global_score,seo_score,commercial_score,projected_roi,recommended_price,recommendation,collector_score,estimated_value,analyzed_at
proptech-works.com,8.3,8,9,50.0,400.0,ACHETER,8.0,360.0,2025-06-09 02:50:16
top-proptech.org,8.3,8,9,20.0,500.0,ACHETER,8.0,312.0,2025-06-09 02:51:10
fintech-hub.com,8.05,8,9,50.0,2000.0,ACHETER,8.0,468.0,2025-06-09 02:49:17
besthealthtech.com,8.05,8,9,50.0,400.0,ACHETER,8.0,336.0,2025-06-09 02:50:37
proptech-lab.com,8.05,8,9,40.0,500.0,ACHETER,8.0,468.0,2025-06-09 02:49:28
proptechlab.net,8.05,8,9,30.0,374.4,ACHETER,8.0,374.4,2025-06-09 02:50:01
edtech-hub.com,8.05,8,9,20.0,600.0,ACHETER,8.0,468.0,2025-06-09 02:49:39
newhealthtech.com,8.05,8,9,20.0,400.0,ACHETER,8.0,336.0,2025-06-09 02:50:27
mytech.com,8.05,8,9,20.0,500.0,ACHETER,8.0,312.0,2025-06-09 02:50:48
topcleantech.com,8.05,8,9,20.0,500.0,ACHETER,8.0,312.0,2025-06-09 02:51:21
quickfintech.com,7.55,7,8,60.0,250.0,ACHETER,8.0,312.0,2025-06-09 02:51:25
fintechzone.net,7.55,7,8,30.0,400.0,ACHETER,8.0,374.4,2025-06-09 02:49:50
pro-fintech.org,7.55,7,8,25.0,400.0,ACHETER,8.0,312.0,2025-06-09 02:50:59
edtech-pro.com,7.55,7,8,20.0,500.0,ACHETER,8.0,468.0,2025-06-09 02:49:07
proptechpro.net,7.55,7,8,20.0,300.0,ACHETER,8.0,374.4,2025-06-09 02:50:05
